stop_id,place-aport,place-aqucl,place-bmmnl,place-bomnl,place-gover,place-mvbcl,place-orhte,place-rbmnl,place-sdmnl,place-state,place-wimnl,place-wondl
place-aport,0,0,0,0,0,0,0,0,0,0,0,0
place-aqucl,0,0,0,0,0,0,0,0,0,0,0,0
place-bmmnl,0,0,0,0,0,0,0,0,0,0,0,0
place-bomnl,0,0,0,0,0,0,0,0,0,0,0,0
place-gover,0,0,0,0,0,0,0,0,0,0,0,0
place-mvbcl,0,0,0,0,0,0,0,0,0,0,0,0
place-orhte,0,0,0,0,0,0,0,0,0,0,0,0
place-rbmnl,0,0,0,0,0,0,0,0,0,0,0,0
place-sdmnl,0,0,0,0,0,0,0,0,0,0,0,0
place-state,0,0,0,0,0,0,0,0,0,0,0,0
place-wimnl,0,0,0,0,0,0,0,0,0,0,0,0
place-wondl,0,0,0,0,0,0,0,0,0,0,0,0